 Book Chapter:Verse(s)|Scripture Text


John 3:16|For God so loved the world that he gave his one and only Son, that whoever believes in him shall not perish but have eternal life.
Proverbs 3:5-6|Trust in the Lord with all your heart and lean not on your own understanding; in all your ways submit to him, and he will make your paths straight.
Philippians 4:13|I can do all this through him who gives me strength.
Psalm 23:4|Even though I walk through the darkest valley, I will fear no evil, for you are with me; your rod and your staff comfort me.
Matthew 28:19-20|Therefore go and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit.
Isaiah 40:31|But those who hope in the Lord will renew their strength. They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint.
Jeremiah 29:11|For I know the plans I have for you,” declares the Lord, “plans to prosper you and not to harm you, plans to give you hope and a future.
1 Corinthians 13:13|And now these three remain: faith, hope and love. But the greatest of these is love.


